text,label
"Subject: Your crypto portfolio has been credited with free tokens

Dear Customer,

Our automated AI trading algorithm has been consistently generating 5% daily returns. Invest today and start earning passive income.

Connect your wallet and claim your tokens at: http://free-token-airdrop.net

Cheers,
Wealth Advisors",spam
"Subject: Exclusive Bitcoin investment opportunity - 200% returns

ATTENTION:

Our researchers have identified the next cryptocurrency that is set to skyrocket by 10,000% next week. Early access is open now.

Reply to this email with your crypto wallet address to receive your tokens.

Cheers,
Wealth Advisors",spam
"Subject: Your account has been temporarily locked

ATTENTION:

As part of our annual system upgrade, all users are required to confirm their security credentials. Failure to do so will result in email deletion.

Click this link to confirm your credentials: http://system-update-mail.com

Yours truly,
Customer Care Agent",spam
"Subject: Official notification: Cash prize payout

ATTENTION:

We are contact you regarding an unclaimed estate of a deceased relative who shares your last name. We need your cooperation to file a claim.

Send your full banking details to confirm transfer.

Yours truly,
Customer Care Agent",spam
"Subject: Official notification: Cash prize payout

Dear Account Owner,

The international lottery foundation has approved your cash release. Please confirm your receipt.

Send your full banking details to confirm transfer.

Best regards,
Accounts Department",spam
"Subject: Congratulations: You are our selected winner

Dear Account Owner,

This is an official transaction announcement. Your prize money is ready for bank wire transfer.

Send your full banking details to confirm transfer.

Sincerely,
Dispute Division",spam
"Subject: Get cash back on all your online purchases

Dear Customer,

Introduce our new dietary supplement that burns fat while you sleep. Clinically tested and recommended by top doctors.

Apply in just 3 minutes at: http://unsecured-loans-quick.com

Sincerely,
Security Division",spam
"Subject: Invoice #87920 for your Geek Squad service

Hello,

We have successfully renewed your antivirus license for the next 3 years. The fee of $299.99 has been billed to your card on file.

To dispute this invoice or request a refund, visit: http://invoice-dispute-help.com

Thanks,
Shipping Department",spam
"Subject: Unclaimed funds notification - claim your inheritance

Dear Customer,

The international lottery foundation has approved your cash release. Please confirm your receipt.

Download the claim form: http://inheritance-fund-transfer.net/forms

Regards,
Customer Support Team",spam
"Subject: Get pre-approved for a 0% interest loan

Hello,

Lower your monthly home payments significantly by refinancing your mortgage today. Rates have reached historic lows.

Order your trial bottle today: http://slim-burn-diet.org

Sincerely,
Dispute Division",spam
